NO,SCT_SHIP__NO,MR,COMMERCIAL_INVOICE_NO,INVOICE_DATE,PO_NO,VENDOR,CATEGORY,MAIN_DESCRIPTION_(PO),SUB_DESCRIPTION,SHU,DAS,MIR,AGI,INCOTERMS,CURRENCY,INVOICE_VALUE,FREIGHT,INSURANCE,CIF_VALUE,COE,POL,POD,BL_NO_AWB_NO,VESSEL_NAME_FLIGHT_NO,FORWARDER,SHIP_MODE,PKG,20DC,40DC,40HQ,45HQ,20OT(IN),20OT(OH),40OT(IN),40OT(OH),20FR(IN),40FR(IN),20FR(FV),40FR(OW),"20FR(OW,OH)","40FR(OW,OH)","40FR(OW,OL)",LCL,QTY_OF_CNTR,G_BULK,O_BULK,H_BULK,GWT(KG),CBM,R/T(GRAND-_TOTAL),A_CWT(KG),ETD,ATD,ETA,ATA,ATTESTATION_DATE,DO_COLLECTION,CUSTOMS_START,CUSTOMS_CLOSE,CUSTOM_CODE,DUTY_AMT,VAT_AMT,SHU2,MIR3,DAS4,AGI5,DSV_INDOOR,DSV_OUTDOOR,DSV_MZD,DSV_KIZAD,JDN_MZD,JDN_WATERFRONT,MOSB,AAA_STORAGE,ZENER_(WH),HAULER_DG_STORAGE,VIJAY_TANKS,FLOW_CODE,FLOW_DESCRIPTION
256,HVDC-ADOPT-SEI-0011,E03,HVDC-ADOPT-SEI-0011,2024-08-28,5000684244,Sumitomo,Elec,400kV HVDC Cable System,DC400kv Subsea Cable,,,,,CIF,JPY,5177822000.0,794578668.0,17917202.0,5990317870.0,JAPAN,Hitachi,Mina Zayed,290-700-2409-100,UHL Fierce,Deugro,B,4,,,,,,,,,,,,,,,,,0.0,,,,5635154.0,4747.3,5635.15,,2024-09-18,2024-09-18,2024-10-07,2024-10-07,2025-04-16,2024-10-05,2024-10-07,2024-10-07,47150.0,7407328.0,7777694.0,,,,,,,,,2024-10-10,,,,,,,2,Port → WH → Site
267,HVDC-ADOPT-SCT-0017,M01,HVDC-ADOPT-SCT-0017,2024-09-21,5000734812,Excellift,Mech,Crane and Hoist,Crane and Hoist (6th),,O,O,O,FOB,USD,42590.0,1880.0,638.85,45108.85,MALAYSIA,Port Klang,Khalifa port,KUL00001504,MSC Hailey,Alpha Maritime,C,9,,,1.0,,,,,,,,,,,,,,1.0,,,,4500.0,17.65,17.65,,2024-09-21,2024-09-21,2024-10-15,2024-10-15,2025-04-17,2024-10-18,2024-10-18,2024-10-18,47150.0,8284.0,8697.0,,2024-10-28,,,,,,,,,2024-10-28,,,,,2,Port → WH → Site
282,HVDC-ADOPT-SCT-0018,E08,HVDC-ADOPT-SCT-0018,2024-09-25,5000802593,Sangdong,Elec,Steel Conduit,Steel Conduit (1st),O,O,O,O,FOB,USD,147719.16,8000.0,1772.63,157491.79,KOREA,Busan Port,Khalifa port,290-700-2409-040,HMM RAON,Deugro,C,19,,,5.0,,,,,,,,,,,,,,5.0,,,,70920.0,115.73,115.73,,2024-09-26,2024-09-26,2024-11-04,2024-11-04,2025-04-10,2024-11-06,2024-11-06,2024-11-06,47150.0,28920.0,30365.0,2024-11-13,2024-11-18,2024-12-11,2024-12-11,,,,,,,,,,,,1,Port → Site
283,HVDC-ADOPT-SCT-0015,E08,HVDC-ADOPT-SCT-0015,2024-09-26,5000735555,LS Cable,Elec,400kv Power Cable,400kv Power Cable (1st),,,O,,FOB,USD,1996172.3,14400.0,23954.07,2034526.37,KOREA,Busan Port,Khalifa port,290-700-2409-039,HMM Raon,Deugro,C,9,,,,,,,,,9.0,,,,,,,,9.0,,,,254971.0,438.57,438.57,,2024-09-26,2024-09-26,2024-11-04,2024-11-04,2025-04-17,2024-11-04,2024-11-05,2024-11-05,47150.0,373590.0,392269.0,,2024-11-26,,,,,,,,,,,,,,1,Port → Site
284,HVDC-ADOPT-SEI-0008,E03,HVDC-ADOPT-SEI-0008,2024-09-15,5000684244,Sumitomo,Elec,400kV HVDC Cable System,"Transition joint, Link Box and Repair Joints",,,,,CIF,JPY,177117800.0,1150000.0,2125413.6,180393213.6,JAPAN,Kobe,Khalifa port,290-700-2408-002,Ever Balmy,Deugro,C,62,,,5.0,,,,,,,,,,,,,,5.0,,,,28266.0,120.57,120.57,,2024-09-16,2024-09-16,2024-11-04,2024-11-04,2025-04-16,2024-11-08,2024-11-08,2024-11-08,47150.0,215787.0,226576.0,,,,,,2024-11-18,,,,,,,,,,2,Port → WH → Site
285,HVDC-ADOPT-ZEN-0003,,HVDC-ADOPT-ZEN-0003,2024-10-01,7772440295,SCHRACK SECONET,Elec,,Fire Alarm System & Aspiration System & Accessories,,,,,CIP,EUR,,,,77727.64,Austria,Viena,Abu Dhabi Airport,615-06430421,QY4773,European Air Transpor,A,3,,,,,,,,,,,,,,,,,0.0,,,,349.0,4.16,4.16,,2024-10-31,2024-10-31,2024-11-06,2024-11-06,2025-04-16,2024-11-06,2024-11-06,2024-11-06,47150.0,1040.0,16391.0,,,,,,,,,,,,,2024-11-07,,,2,Port → WH → Site
286,HVDC-ADOPT-ZEN-0003,,HVDC-ADOPT-ZEN-0003,2024-10-01,7772440295,SCHRACK SECONET,Elec,,Fire Alarm System & Aspiration System & Accessories,,,,,CIP,EUR,,,,,Austria,Viena,Abu Dhabi Airport,615-06430421,QY4773,European Air Transpor,A,4,,,,,,,,,,,,,,,,,0.0,,,,467.0,,,,2024-10-31,2024-10-31,2024-11-07,2024-11-07,2025-04-16,2024-11-07,2024-11-07,2024-11-07,47150.0,,1.0,,,,,,,,,,,,,2024-11-07,,,2,Port → WH → Site
287,HVDC-ADOPT-SCT-0021,E08,HVDC-ADOPT-SCT-0021,2024-10-04,5000802593,Sangdong,Elec,Steel Conduit,Steel Conduit (2nd),O,O,O,O,FOB,USD,45876.54,3500.0,545.61,49922.15,KOREA,Busan Port,Khalifa port,290-700-2409-168,ESL DANA,Deugro,C,12,1.0,,1.0,,,,,,,,,,,,,,2.0,,,,12890.0,28.25,28.25,,2024-10-04,2024-10-04,2024-11-10,2024-11-10,2025-04-17,2024-11-14,2024-11-14,2024-11-14,47150.0,9168.0,9625.0,2024-11-24,2024-11-17,2024-12-06,2024-12-04,,,,,,,2024-11-21,,,,,2,Port → WH → Site
288,HVDC-ADOPT-SCT-0019,E08,HVDC-ADOPT-SCT-0019,2024-10-01,5000789074,TaeHwa,Elec,Cable Tray System,Cable Tray System (7th),,,O,O,FOB,USD,185281.41,16000.0,2223.38,203504.79,KOREA,Busan Port,Khalifa port,290-700-2409-057,HMM Daon,Deugro,C,47,,,10.0,,,,,,,,,,,,,,10.0,,,,129578.0,406.72,406.72,,2024-10-01,2024-10-01,2024-11-11,2024-11-11,2025-04-16,2024-11-12,2024-11-12,2024-11-12,47150.0,37369.0,39237.0,2025-01-17,2025-01-02,,2025-04-21,,,,,,,,,,,,1,Port → Site
289,HVDC-ADOPT-SCT-0020,E08,HVDC-ADOPT-SCT-0020,2024-10-01,5000735555,LS Cable,Elec,400kv Power Cable,400kv Power Cable (2nd),,,O,,FOB,USD,1979727.86,14400.0,23954.07,2018081.93,KOREA,Busan Port,Khalifa port,290-700-2409-058,HMM Daon,Deugro,C,9,,,,,,,,,9.0,,,,,,,,9.0,,,,253128.0,438.57,438.57,,2024-10-01,2024-10-01,2024-11-11,2024-11-11,2025-04-17,2024-11-12,2024-11-12,2024-11-12,47150.0,370218.0,388729.0,,2024-12-01,,,,,,,,,,,,,,1,Port → Site
290,HVDC-ADOPT-SCT-0027,E08,HVDC-ADOPT-SCT-0027,2024-10-09,5000801116,Bansuk,Elec,Lighting and Small Power Sysytem,Flood Light,,O,O,,FOB,USD,1030.0,1235.73,27.19,2292.92,CHINA,Shenzhen,Abu Dhabi Airport,921-46552590,O3139,Deugro,A,10,,,,,,,,,,,,,,,,,0.0,,,,51.0,0.83,0.83,,2024-11-10,2024-11-10,2024-11-11,2024-11-11,2025-04-10,2024-11-12,2024-11-12,2024-11-12,47150.0,645.0,677.0,,2024-11-14,2024-11-14,,,,,,,,,,,,,1,Port → Site
291,HVDC-ADOPT-ZEN-0007,,HVDC-ADOPT-ZEN-0007,2024-10-30,7772440296,SCHRACK SECONET,Elec,,Fire Alarm and Aspiration Sytem,,,,,CIP,EUR,,,,69683.2,Austria,Viena,Abu Dhabi Airport,607-35107763,EY154,Etihad,A,3,,,,,,,,,,,,,,,,,0.0,,,,550.0,3.87,3.87,,2024-11-12,2024-11-12,2024-11-12,2024-11-12,2025-04-17,2024-11-14,2024-11-14,2024-11-14,47150.0,490.0,14132.0,,,,,,,,,,,,,2024-11-15,,,2,Port → WH → Site
292,HVDC-ADOPT-SEI-0015,E03,HVDC-ADOPT-SEI-0015,2024-10-31,5000684244,Sumitomo,Elec,400kV HVDC Cable System,DANGEROUS GOODS for CABLE ACCESSORIES,O,O,,,CIP,JPY,56800.0,22720.0,795.2,80315.2,JAPAN,Osaka,Abu Dhabi Airport,607-3633 0464,EY815,UCI Airfreight,A,13,,,,,,,,,,,,,,,,,0.0,,,,36.0,0.39,0.39,,2024-11-11,2024-11-11,2024-11-12,2024-11-12,,2024-11-12,2024-11-12,2024-11-12,47150.0,96.0,100.0,2026-01-17,,,,,,,,,2024-11-14,,,,,,2,Port → WH → Site
302,HVDC-ADOPT-SEI-0009,E03,HVDC-ADOPT-SEI-0009,2024-10-16,5000684244,Sumitomo,Elec,400kV HVDC Cable System,DANGEROUS GOODS for CABLE ACCESSORIES,,,,,CIF,JPY,659200.0,171000.0,9173.71,839373.71,JAPAN,Kobe,Khalifa port,290-700-2410-022,EVER BLESS,,C,70,1.0,,,,,,,,,,,,,,,,1.0,,,,678.0,4.75,4.75,,2024-10-22,2024-10-22,2024-11-19,2024-11-19,2025-04-17,2024-11-22,2024-11-24,2024-11-24,47150.0,1002.0,1049.0,2026-01-17,,,,,,,,,2024-12-07,,,,,,2,Port → WH → Site
306,HVDC-ADOPT-SCT-0033,E08,HVDC-ADOPT-SCT-0033,2024-11-21,5000801116,Bansuk,Elec,Lighting and Small Power Sysytem,Ondo G3 LW20000-840 ET,,,O,,FOB,USD,5500.0,359.16,64.46,5923.62,Spain,Vitoria-Gasteiz,Abu Dhabi Airport,157-37906632,QR150,Deugro,A,1,,,,,,,,,,,,,,,,,0.0,,,,82.0,0.72,0.72,,2024-11-21,2024-11-21,2024-11-23,2024-11-23,2025-04-16,2024-11-25,2024-11-25,2024-11-25,47150.0,1088.0,1142.0,,2024-11-26,,,,,,,,,,,,,,1,Port → Site
311,HVDC-ADOPT-ZEN-0009,,HVDC-ADOPT-ZEN-0009,2024-11-05,7772400288,Fluid Pumps,Mech,,Gate Valves,,,,,CIF,USD,,,,9360.0,India,Tuticorin,Khalifa port,FBLTAUH1124/00493,SSL Krishna,Freightbridge Logistics,C,2,,,,,,,,,,,,,,,,1.0,0.0,,,,1045.7,3.23,3.23,,2024-11-08,2024-11-08,2024-12-01,2024-12-01,2025-04-16,2024-12-07,2024-12-09,2024-12-09,47150.0,1719.0,1805.0,,,,,,,,,,,,,2024-12-10,,,2,Port → WH → Site
319,HVDC-ADOPT-SCT-0022,E08,HVDC-ADOPT-SCT-0022,2024-11-05,5000789074,TaeHwa,Elec,Cable Tray System,Cable Tray System (8th),,O,O,,FOB,USD,216021.82,18400.0,2592.26,237014.08,KOREA,Busan Port,Khalifa port,290-700-2410-056,HMM HANUL,Deugro,C,69,,,11.0,,,,,,,,,,,,,,11.0,,,,136324.0,456.09,456.09,,2024-11-05,2024-11-05,2024-12-12,2024-12-12,2025-04-16,2024-12-12,2024-12-12,2024-12-12,47150.0,43522.0,45698.0,,2025-01-08,2025-02-14,,,,,,,,2025-01-03,,,,,2,Port → WH → Site
322,HVDC-ADOPT-SEI-0014,E03,HVDC-ADOPT-SEI-0014,2024-11-13,5000684244,Sumitomo,Elec,400kV HVDC Cable System,Cable Accessories,O,O,,,CIF,JPY,20470524.0,320415.0,207909.39,20998848.39,JAPAN,Kobe,Khalifa port,290-700-2411-033,CNC JAWA,Deugro,C,18,,,1.0,,,,,,,,,,,,,,1.0,,,,3221.0,21.14,21.14,,2024-11-13,2024-11-13,2024-12-11,2024-12-11,,2024-12-17,2024-12-17,2024-12-17,47150.0,25031.0,26282.0,2025-11-20,,,,,,,,2024-12-26,,,,,,,2,Port → WH → Site
323,HVDC-ADOPT-ZEN-0010,,HVDC-ADOPT-ZEN-0010,2024-11-13,7772400288,Fluid Pumps,Mech,,Gate Valves,,,,,CIF,USD,,,,18045.0,India,Tuticorin,Khalifa port,CCL202411AEAUH1385,SSL KAVERI,CCL,C,2,,,,,,,,,,,,,,,,1.0,0.0,,,,1751.25,3.18,3.18,,2024-11-23,2024-11-23,2024-12-12,2024-12-12,2025-04-17,2024-12-14,2024-12-16,2024-12-16,47150.0,3314.0,3479.0,,,,,,,,,,,,,2024-12-17,,,2,Port → WH → Site
324,HVDC-ADOPT-SCT-0025,E08,HVDC-ADOPT-SCT-0025,2024-11-07,5000789074,TaeHwa,Elec,Cable Tray System,Cable Tray System (9th),O,O,O,O,FOB,USD,208793.71,16800.0,2505.52,228099.23,KOREA,Busan Port,Khalifa port,290-700-2411-001,Rome Express,Deugro,C,67,,,10.0,,,,,,,,,,,,,,10.0,,,,96114.0,273.18,273.18,,2024-11-07,2024-11-07,2024-12-14,2024-12-14,2025-04-16,2024-12-20,2024-12-20,2024-12-20,47150.0,41885.0,43979.0,2025-01-08,2025-01-02,2025-04-28,2025-07-18,,,,,,,2025-01-02,,,,,2,Port → WH → Site
325,HVDC-ADOPT-SCT-0023,E08,HVDC-ADOPT-SCT-0023,2024-11-09,5000735555,LS Cable,Elec,400kv Power Cable,400kv Power Cable (3rd),O,,O,,FOB,USD,9138683.72,261361.43,103400.5,9503445.65,KOREA,Masan,Khalifa port,290-700-2410-098,OCEAN SUCCESS,Deugro,B,56,,,,,,,,,,,,,,,,,0.0,,,,1287821.0,2376.01,2376.01,,2024-11-09,2024-11-09,2024-12-15,2024-12-15,2025-04-16,2024-12-06,2024-12-07,2024-12-07,47150.0,1745071.0,1832324.0,2024-12-31,2025-01-02,,,,,,,,,,,,,,1,Port → Site
326,HVDC-ADOPT-ZEN-0011,,HVDC-ADOPT-ZEN-0011,2024-11-12,53903,JINDAL,Elec,,Pipe Fittings,,,,,CIF,USD,,,,55323.0,India,Nhava Sheva,Khalifa port,RSLHYDSE5844,SCI Mumbai,,C,11,,,,,,,,,,,,,,,,1.0,0.0,,,,7846.0,6.65,7.85,,2024-12-04,2024-12-04,2024-12-15,2024-12-15,2025-04-14,2024-12-16,2025-01-02,2025-01-02,47150.0,10159.0,10667.0,,,,,,,,,,,,,2025-01-03,,,2,Port → WH → Site
327,HVDC-ADOPT-ZEN-0005,,HVDC-ADOPT-ZEN-0005,2024-10-10,7772440295,MASTICO,Elec,,Alarm Check Valves,,,,,CIF,USD,,,,6317.0,KOREA,Busan Port,Khalifa port,NAURDXB24110070,HMM HANUL,Nauri Logistics,C,5,,,,,,,,,,,,,,,,1.0,0.0,,,,484.0,4.26,4.26,,2024-11-02,2024-11-02,2024-12-18,2024-12-18,,2024-12-20,2024-12-23,2024-12-23,47150.0,1160.0,1218.0,,,,,,,,,,,,,2024-12-24,,,2,Port → WH → Site
328,HVDC-ADOPT-SCT-0011,E08,HVDC-ADOPT-SCT-0011,2024-11-16,5000799801,LS Cable,Elec,"MV, LV & Control Cable","MV, LV & Control Cable (1st)",,O,,,FOB,USD,942899.9,5600.0,11314.8,959814.7,KOREA,Busan Port,Khalifa port,290-700-2411-030,UMM QARN,Deugro,C,37,7.0,,,,,,,,,,,,,,,,7.0,,,,106087.0,135.48,135.48,,2024-11-16,2024-11-16,2024-12-19,2024-12-19,2025-04-17,2024-12-17,2024-12-17,2024-12-17,47150.0,176246.0,185058.0,,,2025-04-19,,,,,,,,2024-12-26,,,,,2,Port → WH → Site
329,HVDC-ADOPT-SCT-0012,E08,HVDC-ADOPT-SCT-0012,2024-11-16,5000799801,LS Cable,Elec,"MV, LV & Control Cable","MV, LV & Control Cable (2nd)",O,,,,FOB,USD,860839.25,5600.0,10330.07,876769.32,KOREA,Busan Port,Khalifa port,290-700-2411-031,UMM QARN,Deugro,C,34,7.0,,,,,,,,,,,,,,,,7.0,,,,97780.0,132.65,132.65,,2024-11-16,2024-11-16,2024-12-19,2024-12-19,2025-04-12,2024-12-17,2024-12-17,2024-12-17,47150.0,160997.0,169047.0,2025-01-07,,,,,,,,,,,,,,,1,Port → Site
330,HVDC-ADOPT-SCT-0024,E08,HVDC-ADOPT-SCT-0024,2024-11-16,5000771906,Gastron,Elec,Gas Detection System,Gas Detection System,O,O,O,O,FOB,USD,157470.0,800.0,1889.64,160159.64,KOREA,Busan Port,Khalifa port,290-700-2410-099,UMM QARN,Deugro,C,4,1.0,,,,,,,,,,,,,,,,1.0,,,,1990.0,13.33,13.33,,2024-11-16,2024-11-16,2024-12-19,2024-12-19,2025-04-17,2024-12-20,2024-12-20,2024-12-20,47150.0,0.0,29409.0,2025-01-29,2025-02-05,2025-02-19,2025-02-19,,2024-12-26,,,,,2025-02-01,,,,,3,Port → WH → MOSB → Site
331,HVDC-ADOPT-SCT-0026,E08,HVDC-ADOPT-SCT-0026,2024-11-16,5000802593,Sangdong,Elec,Steel Conduit,Steel Conduit (3rd),O,O,O,O,FOB,USD,385715.14,10400.0,4628.58,400743.72,KOREA,Busan Port,Khalifa port,290-700-2411-032,UMM QARN,Deugro,C,46,1.0,,6.0,,,,,,,,,,,,,,7.0,,,,123460.0,190.29,190.29,,2024-11-16,2024-11-16,2024-12-19,2024-12-19,,2024-12-20,2024-12-20,2024-12-20,47150.0,73588.0,77266.0,2025-01-09,2025-01-07,2025-01-25,2025-01-15,,2025-01-03,,,,,2025-01-15,,,,,3,Port → WH → MOSB → Site
332,HVDC-ADOPT-SCT-0040,E08,HVDC-ADOPT-SCT-0040,2024-12-10,5001004422,Roxtec,Elec,Lighting&Small Power System,Multi Cable Transit,O,O,,,FOB,USD,45620.65,0.0,0.0,45620.65,CHINA,Shanghai,Abu Dhabi Airport,LTKC24120238,QR150,,A,7,,,,,,,,,,,,,,,,,0.0,,,,2768.0,6.09,6.09,,2024-12-19,2024-12-19,2024-12-19,2024-12-19,2025-04-17,2024-12-20,2024-12-20,2024-12-20,47150.0,8378.0,8796.0,2025-01-03,,2025-01-09,,,,,,,,2024-12-25,,,,,2,Port → WH → Site
333,HVDC-ADOPT-SCT-0041,E08,HVDC-ADOPT-SCT-0041,2024-10-04,5001004422,Roxtec,Elec,Lighting&Small Power System,Multi Cable Transit,O,O,,,FOB,USD,132024.12,0.0,0.0,132024.12,SWEDEN,Malmoe,Abu Dhabi Airport,SE24001825,OI7669T,,A,5,,,,,,,,,,,,,,,,,0.0,,,,1675.0,3.97,3.97,,2024-12-17,2024-12-17,2024-12-20,2024-12-20,2025-04-10,2024-12-24,2024-12-24,2024-12-24,47150.0,25163.0,26420.0,2025-01-03,,2025-01-09,,,,,,,,2024-12-25,,,,,2,Port → WH → Site
337,HVDC-ADOPT-ZEN-0004,,HVDC-ADOPT-ZEN-0004,2024-09-04,,YANGZHOU,Mech,,Carbon Steel Seamless Pipe,,,,,CIF,USD,,,,230400.72,Shanghai,China,Khalifa port,HSHAUH2404475,MSC Paloma,World Calss Freight,C,113,,,7.0,,,,,,,,,,,,,,7.0,,,,171896.0,98.69,171.9,,2024-11-23,2024-11-23,2024-12-24,2024-12-24,2025-04-16,2025-01-14,2025-01-15,2025-01-15,47150.0,48654.0,51086.0,,,,,,,,,,,,,2025-01-16,,,2,Port → WH → Site
338,HVDC-ADOPT-SEI-0013,E03,HVDC-ADOPT-SEI-0013,2024-11-29,5000684244,Sumitomo,Elec,400kV HVDC Cable System,Bend Restrictor,,,,,CIF,JPY,68812000.0,625000.0,763807.0,70200807.0,United Kingdom,London,Khalifa port,290-700-2411-121,Maersk Herrera,Deugro,C,40,,2.0,,,,,,,,,,,,,,,2.0,,,,25036.0,69.1,69.1,,2024-11-29,2024-11-29,2024-12-28,2024-12-28,2025-04-17,2024-12-31,2025-01-03,2025-01-03,47150.0,82153.0,86260.0,2025-11-20,,,,,,,,2025-01-14,,,,,,,2,Port → WH → Site
339,HVDC-ADOPT-SCT-0030,E08,HVDC-ADOPT-SCT-0030,2024-11-24,5000799801,LS Cable,Elec,"MV, LV & Control Cable","MV, LV & Control Cable (3rd)",O,O,O,,FOB,USD,2772349.55,24000.0,33268.19,2829617.74,KOREA,Busan Port,Khalifa port,290-700-2411-098,HMM GAON,Deugro,C,171,14.0,,8.0,,,,,,,,,,,,,,22.0,,,,367431.0,450.76,450.76,,2024-11-23,2024-11-23,2024-12-31,2024-12-31,2025-04-16,2024-12-31,2025-01-03,2025-01-03,47150.0,519589.0,545568.0,2025-01-16,2025-02-01,2025-06-21,2025-09-06,,,,,,,2025-01-17,,,,,2,Port → WH → Site
350,HVDC-ADOPT-SIM-0029,E04-1,HVDC-ADOPT-SIM-0029,2024-10-02,SCT-19LT-PRC-PO-004,EUPEN,Elec,400kV and 132kV New Converter GIS,Eupen Cables - SHDC GHDC and MRDC,O,,O,O,CIF,EUR,,,,49338.3,BELGIUM,Antwerp,Khalifa port,17413381A,CSCL NEPTUNE,SSC,C,7,1.0,,,,,,,,,,,,,,,,1.0,,,,6146.0,0.0,6.15,,2024-12-01,2024-12-01,2025-01-04,2025-01-04,2025-04-17,2025-01-07,2025-01-14,2025-01-14,47150.0,9245.0,9707.0,2025-01-29,2025-02-05,,2025-05-09,,,,,,,2025-02-01,,,,,2,Port → WH → Site
351,HVDC-ADOPT-SIM-0034,E04-1,HVDC-ADOPT-SIM-0034,2024-10-02,SCT-19LT-PRC-PO-005,EUPEN,Elec,400kV and 132kV New Converter GIS,Eupen Cables - SHPS for Existing GIS Modification,O,,,,CIF,EUR,,,,3108.12,BELGIUM,Antwerp,Khalifa port,17413381,CSCL NEPTUNE,SSC,C,1,,,,,,,,,,,,,,,,,0.0,,,,376.0,0.0,0.38,,2024-12-01,2024-12-01,2025-01-04,2025-01-04,2025-04-17,2025-01-07,2025-01-14,2025-01-14,47150.0,583.0,612.0,2025-01-21,,,,,,,,,,,,,,,1,Port → Site
352,HVDC-ADOPT-ZEN-0012,,HVDC-ADOPT-ZEN-0012,2024-12-06,7772400288,Fluid Pumps,Mech,,Pipe Fittings & Nozzle,,,,,CIF,USD,,,,17438.37,India,Tuticorin,Khalifa port,7.57E+11,SSL Kaveri,Global Vission Shipping,C,3,,,,,,,,,,,,,,,,1.0,0.0,,,,1766.55,3.12,3.12,,2024-12-15,2024-12-15,2025-01-07,2025-01-07,2025-04-17,2025-01-10,2025-01-10,2025-01-10,47150.0,1546.0,3279.0,,,,,,,,,,,,,2025-01-13,,,2,Port → WH → Site
353,HVDC-ADOPT-SCT-0031,E08,HVDC-ADOPT-SCT-0031,2024-12-03,5000789074,TaeHwa,Elec,Cable Tray System,Cable Tray System (10th),O,O,O,O,FOB,USD,345240.7,16800.0,4142.89,366183.59,KOREA,Busan Port,Khalifa port,290-700-2411-146,HMM Raon,Deugro,C,68,1.0,,9.0,,,,,,,,,,,,,,10.0,,,,87281.0,315.07,315.07,,2024-12-03,2024-12-03,2025-01-09,2025-01-09,2025-04-17,2025-01-15,2025-01-15,2025-01-15,47150.0,67241.0,70603.0,2025-01-27,2025-02-01,2025-04-28,2025-04-21,,,,,,,2025-01-31,,,,,2,Port → WH → Site
354,HVDC-ADOPT-SCT-0032,E08,HVDC-ADOPT-SCT-0032,2024-12-03,5001003776,Sangdong,Elec,Earthing & Lightning Protection Material,Earthing & Lightning Protection Material (1st),O,O,O,O,FOB,USD,1066550.87,7200.0,12798.61,1086549.48,KOREA,Busan Port,Khalifa port,290-700-2411-147,HMM Raon,Deugro,C,26,1.0,,4.0,,,,,,,,,,,,,,5.0,,,,89430.0,97.86,97.86,,2024-12-03,2024-12-03,2025-01-09,2025-01-09,2025-04-17,2025-01-15,2025-01-15,2025-01-15,47150.0,199518.0,209494.0,2025-01-27,2025-02-01,2025-02-05,2025-07-23,2025-03-19,,,,,,2025-01-31,,,,,3,Port → WH → MOSB → Site
355,HVDC-ADOPT-SCT-0036,I01,HVDC-ADOPT-SCT-0036,2024-12-03,5000761612,"ESAK CO., Ltd",Inst.,Field Instrument,Field Instrument (1st),O,O,O,O,FOB,USD,121000.0,800.0,1452.0,123252.0,KOREA,Busan Port,Khalifa port,290-700-2411-148,HMM Raon,Deugro,C,4,1.0,,,,,,,,,,,,,,,,1.0,,,,1080.0,8.93,8.93,,2024-12-03,2024-12-03,2025-01-09,2025-01-09,2025-04-16,2025-01-15,2025-01-17,2025-01-17,47150.0,7576.0,23011.0,2025-02-05,2025-02-05,2025-02-10,,,,,,,,2025-01-28,,,,,2,Port → WH → Site
356,HVDC-ADOPT-SEI-0018,E03,HVDC-ADOPT-SEI-0018,2024-12-13,5000684244,Sumitomo,Elec,400kV HVDC Cable System,Cable Accessories(DG),,,,,CIF,JPY,85600.0,592.9,948.12,87141.02,JAPAN,Osaka,Khalifa port,UCI-10052402,EY815,,A,19,,,,,,,,,,,,,,,,,0.0,,,,55.0,0.57,0.57,,2025-01-10,2025-01-10,2025-01-10,2025-01-10,,2025-01-13,2025-01-13,2025-01-13,47150.0,103.0,106.0,2026-01-17,,,,,,,,,2025-01-27,,,,,,2,Port → WH → Site
357,HVDC-ADOPT-ZEN-0015,,HVDC-ADOPT-ZEN-0015,2024-12-23,7772400288,Fluid Pumps,Mech,,Pipe Fittings & Warning Sign,,,,,CIF,USD,,,,75080.34,India,Cochin,Khalifa port,CSX24COKAUH065662,Ever Brace,CSL,C,18,1.0,,,,,,,,,,,,,,,,1.0,,,,9503.12,17.15,17.15,,2024-12-26,2024-12-26,2025-01-10,2025-01-10,2025-04-17,2025-01-14,2025-01-15,2025-01-15,47150.0,13787.0,14476.0,,,,,,,,,,,,,2025-01-16,,,2,Port → WH → Site
358,HVDC-ADOPT-SCT-0044,E08,HVDC-ADOPT-SCT-0044,2025-01-07,5000789074,TaeHwa,Elec,Cable Tray System,Set of Anchor Bolt for Cable Tray,O,O,O,O,FOB,USD,109994.44,34845.33,1593.24,146433.01,KOREA,Incheon,Abu Dhabi Airport,DGOS2501006,EY323,Deugro,A,4,,,,,,,,,,,,,,,,,0.0,,,,5797.0,5.51,5.8,,2025-01-12,2025-01-12,2025-01-12,2025-01-12,2025-04-17,2025-01-16,2025-01-16,2025-01-16,47150.0,26889.0,28233.0,2025-01-29,2024-02-18,2025-02-14,2025-02-06,,2025-01-16,,,,,2025-01-17,,,,,3,Port → WH → MOSB → Site
359,HVDC-ADOPT-SCT-0035,E08,HVDC-ADOPT-SCT-0035,2024-12-08,5000802593,Sangdong,Elec,Steel Conduit,Steel Conduit (4th),O,O,O,O,FOB,USD,225484.04,2400.0,2705.81,230589.85,KOREA,Busan Port,Khalifa port,290-700-2412-016,HMM DAON,Deugro,C,11,1.0,,1.0,,,,,,,,,,,,,,2.0,,,,16745.0,35.41,35.41,,2024-12-08,2024-12-08,2025-01-18,2025-01-18,2025-04-17,2025-01-17,2025-01-23,2025-01-23,47150.0,42344.0,44459.0,2025-02-05,2025-02-05,2025-02-12,2025-03-11,,,,,,,2025-01-31,,,,,2,Port → WH → Site
