NO,SCT_SHIP__NO,MR,COMMERCIAL_INVOICE_NO,INVOICE_DATE,PO_NO,VENDOR,CATEGORY,MAIN_DESCRIPTION_(PO),SUB_DESCRIPTION,SHU,DAS,MIR,AGI,INCOTERMS,CURRENCY,INVOICE_VALUE,FREIGHT,INSURANCE,CIF_VALUE,COE,POL,POD,BL_NO_AWB_NO,VESSEL_NAME_FLIGHT_NO,FORWARDER,SHIP_MODE,PKG,20DC,40DC,40HQ,45HQ,20OT(IN),20OT(OH),40OT(IN),40OT(OH),20FR(IN),40FR(IN),20FR(FV),40FR(OW),"20FR(OW,OH)","40FR(OW,OH)","40FR(OW,OL)",LCL,QTY_OF_CNTR,G_BULK,O_BULK,H_BULK,GWT(KG),CBM,R/T(GRAND-_TOTAL),A_CWT(KG),ETD,ATD,ETA,ATA,ATTESTATION_DATE,DO_COLLECTION,CUSTOMS_START,CUSTOMS_CLOSE,CUSTOM_CODE,DUTY_AMT,VAT_AMT,SHU2,MIR3,DAS4,AGI5,DSV_INDOOR,DSV_OUTDOOR,DSV_MZD,DSV_KIZAD,JDN_MZD,JDN_WATERFRONT,MOSB,AAA_STORAGE,ZENER_(WH),HAULER_DG_STORAGE,VIJAY_TANKS,FLOW_CODE,FLOW_DESCRIPTION
366,HVDC-ADOPT-SEI-0019,E03,HVDC-ADOPT-SEI-0019,2024-12-11,5000684244,Sumitomo,Elec,400kV HVDC Cable System,Bonding Cable & Concentric Cable,,,,,CIF,USD,50500.0,750.0,563.75,51813.75,Indonesia,Jakarta,Khalifa port,EPIRIDTSJK205053,HERTA/02445/W,,C,3,1.0,,,,,,,,,,,,,,,,1.0,,,,1518.0,3.74,3.74,,2024-12-15,2024-12-15,2025-01-24,2025-01-24,2025-04-16,2025-01-30,2025-02-03,2025-02-03,47150.0,9515.0,9990.0,,,,,,,,,2025-02-08,,,,,,,2,Port → WH → Site
378,HVDC-ADOPT-ZEN-0013,,HVDC-ADOPT-ZEN-0013,2025-01-17,7772440296,SCHRACK SECONET,Elec,,Fire Alarm and Aspiration Sytem,,,,,CIF,EUR,,,,13408.7,Austria,Viena,Abu Dhabi Airport,607-37275582,EY154,,A,2,,,,,,,,,,,,,,,,,0.0,,,,238.0,1.82,1.82,,2025-01-30,2025-01-30,2025-01-30,2025-01-30,2025-04-16,2025-02-03,2025-02-03,2025-02-03,47150.0,,2804.0,,,,,,,,,,,,,2025-02-05,,,2,Port → WH → Site
380,HVDC-ADOPT-SEI-0017-03,E03,HVDC-ADOPT-SEI-0017-03,2025-01-21,5000684244,Sumitomo,Elec,400kV HVDC Cable System,Part for Oil Pressure Tank,,,,,CIF,JPY,36800.0,731.64,412.85,37944.49,JAPAN,Osaka,Abu Dhabi Airport,ASI-2000 8423,QR803 / QR1050,,A,2,,,,,,,,,,,,,,,,,0.0,,,,28.0,0.14,0.14,,2025-02-04,2025-02-04,2025-02-05,2025-02-05,,2025-02-05,2025-02-05,2025-02-05,47150.0,46.0,48.0,,,,,,,,,2025-02-08,,,,,,,2,Port → WH → Site
384,HVDC-ADOPT-SEI-0017-01,E03,HVDC-ADOPT-SEI-0017-01,2024-12-27,5000684244,Sumitomo,Elec,400kV HVDC Cable System,Cable Accessories,,,,,CIF,JPY,97796928.0,912186.09,1173563.14,99882677.23,JAPAN,Kobe,Khalifa port,290-700-2412-028,SEASPAN YANGTZE,,C,52,,,,,,,,,,,,,,,,,0.0,,,,11014.0,74.89,74.89,,2024-12-27,2024-12-27,2025-01-29,2025-01-29,2025-04-17,2025-02-10,2025-02-10,2025-02-10,47150.0,120761.0,126796.0,2025-11-20,,,,,,,,2025-02-20,,,,,,,2,Port → WH → Site
386,HVDC-ADOPT-ZEN-0006,,HVDC-ADOPT-ZEN-0006,2024-09-30,,FIRE EATER,,,Fire Extinguishing System,,,,,CIF,EUR,,,,493422.36,Denmark,Copenhagen,Khalifa port,SEA EX 2411F-180,NEUN FELDE,,C,40,3.0,,,,,,,,,,,,,,,,3.0,,,,35796.0,41.52,41.52,,2024-12-07,2024-12-07,2025-02-09,2025-02-09,2025-04-16,2025-02-12,2025-02-14,2025-02-14,47150.0,59201.0,111182.0,,,,,,,,,,,,,2025-02-15,,,2,Port → WH → Site
416,HVDC-ADOPT-ZEN-0008,,HVDC-ADOPT-ZEN-0008,2024-10-23,49922,SPP PUMPS,,,Fire Pump Set,,,,,CIF,USD,,,,600000.0,United Kingdom,Felixstowe,Khalifa port,245257972,ELLY MAERSK,,C,8,,1.0,,,,,1.0,,,,,,,,,,2.0,,,,14897.0,58.6,58.6,,2025-01-18,2025-01-18,2025-02-28,2025-02-28,2025-04-17,2025-03-07,2025-03-09,2025-03-09,47150.0,111277.0,116841.0,,,,,,,,,,,,,2025-03-11,,,2,Port → WH → Site
426,HVDC-ADOPT-ZEN-0006 A,,HVDC-ADOPT-ZEN-0006 A,2024-09-30,,FIRE EATER,,,Fire Extinguishing System,,,,,CIF,EUR,,,,397041.12,Denmark,Copenhagen,Khalifa port,SEA EX 2411F-180A,NEUN FELDE,,C,42,3.0,,,,,,,,,,,,,,,,3.0,,,,73080.0,78.61,78.61,,2024-12-19,2024-12-19,2025-03-09,2025-03-09,2025-04-16,2025-03-13,2025-03-13,2025-03-13,47150.0,,91272.0,,,,,,,,,,,,,2025-03-14,,,2,Port → WH → Site
466,HVDC-ADOPT-PPL-0016,E02,HVDC-ADOPT-PPL-0016,2025-03-18,5000675246,Prysmian,Elec,320kV HVDC Cable System,MINISUB FOC Subsea Fibre Optic Cable (up to 96 fibres) FO Accessories,,,,,CIF,EUR,177539.1,1704.0,1971.67,181214.77,GERMANY,Frankfurt,Abu Dhabi Airport,607-3487-8163,EY7114,,A,3,,,,,,,,,,,,,,,,,0.0,,,,210.0,0.73,0.73,,2025-04-04,2025-04-04,2025-04-05,2025-04-05,2025-04-28,2025-04-10,2025-04-10,2025-04-10,47150.0,37043.0,38895.0,,2025-11-24,,,,,,,2025-04-15,,,,,,,2,Port → WH → Site
480,HVDC-ADOPT-ZEN-0014,,HVDC-ADOPT-ZEN-0014,2025-01-20,,FIRE EATER,,,Fire Extinguishing System,,,,,CIF,EUR,,,,1090579.95,Denmark,Copenhagen,Khalifa port,17031,VANCOUVER EXPRESS,,C,95,7.0,,,,,,,,,,,,,,,,7.0,,,,121226.0,137.39,137.39,,2025-02-08,2025-02-08,2025-04-11,2025-04-11,,2025-04-18,2025-04-18,2025-04-18,47150.0,68168.0,265079.0,,,,,,,,,,,,,2025-04-23,,,2,Port → WH → Site
482,HVDC-ADOPT-ZEN-0016,,HVDC-ADOPT-ZEN-0016,2025-01-30,,APRECO,,,Pressure Relief Dampers,,,,,CIF,GBP,,,,80363.0,United Kingdom,London,Khalifa port,NE2500059,MAERSK HERRERA,,C,9,,,1.0,,,,,,,,,,,,,,1.0,,,,5211.0,24.8,24.8,,2025-03-13,2025-03-13,2025-04-12,2025-04-12,2025-04-28,2025-04-17,2025-04-17,2025-04-17,47150.0,22505.0,23629.0,,,,,,,,,,,,,2025-04-18,,,2,Port → WH → Site
495,HVDC-ADOPT-ZEN-0018,,HVDC-ADOPT-ZEN-0018,2025-03-27,7772400288,Fluid Pumps,,,"Valves, Nozzle & Grooved Fittings",,,,,CIF,USD,,,,71896.28,India,Cochin,Khalifa port,CSX25COKAUH013835,Ever Brace,,C,13,,,1.0,,,,,,,,,,,,,,1.0,,,,6266.53,10.96,10.96,,2025-04-03,2025-04-03,2025-04-14,2025-04-14,2025-11-30,2025-04-21,2025-04-23,2025-04-23,47150.0,8435.0,13624.0,,,,,,,,,,,,,2025-04-25,,,2,Port → WH → Site
524,HVDC-ADOPT-SEI-0021-T,E03,HVDC-ADOPT-SEI-0021-T,2025-03-11,5000684244,Sumitomo,Elec,400kV HVDC Cable System,Cable Cleat 400 kv Subseaa Cables,,,,,CIF,USD,1953.0,54.12,50.0,2057.12,United Kingdom,Heathrow,Abu Dhabi Airport,LON00003424,QR008,,A,2,,,,,,,,,,,,,,,,,0.0,,,,22.0,0.07,0.07,,2025-04-24,2025-04-24,2025-04-27,2025-04-27,,2025-04-28,2025-04-29,2025-04-29,47150.0,378.0,397.0,,,,,,,,,2025-05-03,,,,,,,2,Port → WH → Site
525,HVDC-ADOPT-SEI-0021-L,E03,HVDC-ADOPT-SEI-0021-L,2025-03-11,5000684244,Sumitomo,Elec,400kV HVDC Cable System,Cable Cleat 400 kv Subseaa Cables,,,,,CIF,USD,6394.0,422.8,50.0,6866.8,United Kingdom,Heathrow,Abu Dhabi Airport,LON00003425,QR008,,A,1,,,,,,,,,,,,,,,,,0.0,,,,151.0,0.92,0.92,,2025-04-24,2025-04-24,2025-04-27,2025-04-27,2025-11-30,2025-05-01,2025-05-01,2025-05-01,47150.0,1268.0,1327.0,,,,,,,,,2025-05-03,,,,,,,2,Port → WH → Site
630,HVDC-ADOPT-ZEN-0017,,HVDC-ADOPT-ZEN-0017,2025-04-22,49922,SPP PUMPS,,,Fire Pump Set,,,,,CIF,USD,,,,600000.0,United Kingdom,LONDON GATEWAY,Khalifa port,252739693,NORFOLK EXPRESS,,C,8,1.0,,,,,,1.0,,,,,,,,,,2.0,,,,14943.0,59.33,59.33,,2025-05-10,2025-05-10,2025-06-20,2025-06-20,2025-11-30,2025-06-23,2025-06-24,2025-06-24,47150.0,111277.0,116841.0,,,,,,,,,,,,,2025-06-26,,,2,Port → WH → Site
666,HVDC-ADOPT-SCT-0110,E08,HVDC-ADOPT-SCT-0110,2025-05-29,5000735555,LS Cable,Elec,"MV, LV & Control Cable",400kv Power Cable & Accessories,O,,O,,FOB,USD,4945215.66,90520.58,55393.1,5091129.33,KOREA,Masan,Khalifa port,SEL00000206,OCEAN SUCCESS,Deugro,B,72,,,,,,,,,,,,,,,,,0.0,,,,561902.0,1206.94,1206.94,,2025-05-29,2025-05-29,2025-07-06,2025-07-06,2025-11-30,2025-07-04,2025-07-07,2025-07-07,47150.0,934861.0,981602.0,2025-07-22,2025-07-25,,,,,,,,,,,,2025-07-22,,2,Port → WH → Site
682,HVDC-ADOPT-PPL-0019,E02,HVDC-ADOPT-PPL-0019,2025-06-30,5000675246,Prysmian,Elec,320kV HVDC Cable System,MINISUB FOC Subsea Fibre Optic Cable (up to 96 fibres) FO Accessories,,,,,CIF,EUR,59179.7,260.0,118.36,59558.06,GERMANY,Bremen,Abu Dhabi Airport,607-39821165,EY7114,,A,1,,,,,,,,,,,,,,,,,0.0,,,,65.0,0.23,0.23,,2025-07-27,2025-07-27,2025-07-27,2025-07-27,2025-11-30,2025-07-30,2025-07-30,2025-07-30,47150.0,12622.0,13252.0,,2025-11-24,,,,,,,2025-08-01,,,,,,,2,Port → WH → Site
693,HVDC-ADOPT-SCT-0114,E08,HVDC-ADOPT-SCT-0114,2025-06-30,5000735555,LS Cable,Elec,"MV, LV & Control Cable",400kv Power Cable Accessories,O,,O,,FOB,USD,251520.0,1600.0,2784.32,255904.32,KOREA,Busan Port,Khalifa port,SEL00000499,HMM GAON,Deugro,C,18,,,1.0,,,,,,,,,,,,,,1.0,,,,9140.0,47.84,47.84,,2025-06-30,2025-06-30,2025-08-06,2025-08-06,2025-11-30,2025-08-04,2025-08-05,2025-08-05,47150.0,46992.0,49340.0,2025-08-11,,,,2025-08-09,,,,,,,,,,,2,Port → WH → Site
807,HVDC-ADOPT-SEI-0022,E03,HVDC-ADOPT-SEI-0022,2025-10-17,5000684244,Sumitomo,Elec,400kV HVDC Cable System,Spare Cable Repair Joint for FO Submarine Cable,,,,,CIF,EUR,33470.0,466.0,318.72,34254.72,Norway,Oslo,Abu Dhabi Airport,SEL-00001223,QR8218,,A,1,,,,,,,,,,,,,,,,,0.0,,,,85.0,0.53,0.53,,2025-10-17,2025-10-17,2025-10-18,2025-10-18,2025-10-21,2025-10-17,2025-10-17,2025-10-17,47150.0,7332.0,7699.0,2025-11-20,,,,,,,,2025-10-21,,,,,,,2,Port → WH → Site
834,HVDC-ADOPT-PPL-0021,E02,HVDC-ADOPT-PPL-0021,2025-11-25,5000675246,Prysmian,Elec,320kV HVDC Cable System,REFURBISHMENT KIT FOR CIT4229721066F,,,,,CIF,EUR,4360.0,1850.0,20.0,6230.0,Italy,Malpensa,Abu Dhabi Airport,607-37988064,EY0080,,A,4,,,,,,,,,,,,,,,,,0.0,,,,349.0,1.93,1.93,,2025-12-02,2025-12-02,2025-12-02,2025-12-02,2025-12-16,2025-12-04,2025-12-04,2025-12-04,47150.0,2634.0,2763.0,,,,,,,,,2025-12-08,,,,,,,2,Port → WH → Site
