NO,SCT_SHIP__NO,MR,COMMERCIAL_INVOICE_NO,INVOICE_DATE,PO_NO,VENDOR,CATEGORY,MAIN_DESCRIPTION_(PO),SUB_DESCRIPTION,SHU,DAS,MIR,AGI,INCOTERMS,CURRENCY,INVOICE_VALUE,FREIGHT,INSURANCE,CIF_VALUE,COE,POL,POD,BL_NO_AWB_NO,VESSEL_NAME_FLIGHT_NO,FORWARDER,SHIP_MODE,PKG,20DC,40DC,40HQ,45HQ,20OT(IN),20OT(OH),40OT(IN),40OT(OH),20FR(IN),40FR(IN),20FR(FV),40FR(OW),"20FR(OW,OH)","40FR(OW,OH)","40FR(OW,OL)",LCL,QTY_OF_CNTR,G_BULK,O_BULK,H_BULK,GWT(KG),CBM,R/T(GRAND-_TOTAL),A_CWT(KG),ETD,ATD,ETA,ATA,ATTESTATION_DATE,DO_COLLECTION,CUSTOMS_START,CUSTOMS_CLOSE,CUSTOM_CODE,DUTY_AMT,VAT_AMT,SHU2,MIR3,DAS4,AGI5,DSV_INDOOR,DSV_OUTDOOR,DSV_MZD,DSV_KIZAD,JDN_MZD,JDN_WATERFRONT,MOSB,AAA_STORAGE,ZENER_(WH),HAULER_DG_STORAGE,VIJAY_TANKS,FLOW_CODE,FLOW_DESCRIPTION
433,HVDC-ADOPT-SCT-0065,E08,HVDC-ADOPT-SCT-0065,2025-03-11,5001005974,JEONO ELECTRIC,Elec,Terminal Lug,Terminal Lug,O,O,O,,FOB,USD,32724.95,7160.0,359.97,40244.92,KOREA,Incheon,Abu Dhabi Airport,SUN1184900,TK6545,,A,3,,,,,,,,,,,,,,,,,0.0,,,,1432.0,3.29,3.29,,2025-03-16,2025-03-16,2025-03-18,2025-03-18,2025-04-16,2025-03-18,2025-03-18,2025-03-18,47150.0,7393.0,7760.0,2025-04-16,2025-04-14,2025-04-22,,,2025-03-25,,,,,2025-04-09,,,,,3,Port → WH → MOSB → Site
434,HVDC-ADOPT-SCT-0054,E08,HVDC-ADOPT-SCT-0054,2025-02-26,5000801116,Bansuk,Elec,Lighting and Small Power Sysytem,Lighting & Small Power System,O,O,O,O,FOB,USD,217975.0,3200.0,2397.73,223572.73,CHINA,Shekou,Khalifa port,290-700-2502-167,CMA CGM IRON,Deugro,C,26,,,2.0,,,,,,,,,,,,,,2.0,,,,10410.0,73.49,73.49,,2025-02-26,2025-02-26,2025-03-18,2025-03-18,2025-04-16,2025-03-24,2025-03-24,2025-03-24,47150.0,41054.0,43106.0,2025-04-09,2025-04-08,2025-04-22,2025-04-22,,2025-03-29,,,,,2025-04-09,,,,,3,Port → WH → MOSB → Site
449,HVDC-ADOPT-SCT-0055,E08,HVDC-ADOPT-SCT-0055,2025-02-18,5000789074,TaeHwa,Elec,Cable Tray System,Cable Tray System (13th),O,O,O,,FOB,USD,203871.0,15200.0,2242.58,221313.58,KOREA,Busan Port,Khalifa port,290-700-2502-065,HMM DAON,Deugro,C,60,1.0,,9.0,,,,,,,,,,,,,,10.0,,,,113708.0,326.32,326.32,,2025-02-18,2025-02-18,2025-03-28,2025-03-29,2025-04-17,2025-03-26,2025-03-27,2025-03-27,47150.0,40639.0,42671.0,2025-04-11,2025-04-14,2025-04-16,,,,,,,,2025-04-08,,,,,3,Port → WH → MOSB → Site
450,HVDC-ADOPT-SCT-0052,E08,HVDC-ADOPT-SCT-0052,2025-02-18,5001009797,Dong-A Bestech,Elec,Cable Gland,Cable Gland 2nd,O,O,O,O,FOB,USD,153749.31,1600.0,1691.24,157040.55,KOREA,Busan Port,Khalifa port,290-700-2502-064,HMM DAON,Deugro,C,4,,,1.0,,,,,,,,,,,,,,1.0,,,,8605.0,24.56,24.56,,2025-02-18,2025-02-18,2025-03-28,2025-03-28,2025-04-17,2025-03-26,2025-03-28,2025-03-28,47150.0,28837.0,30278.0,2025-04-09,2025-04-14,2025-04-28,2025-04-21,,2025-04-09,,,,,2025-04-09,,,,,3,Port → WH → MOSB → Site
451,HVDC-ADOPT-SCT-0051,E08,HVDC-ADOPT-SCT-0051,2025-02-18,5000761114,Dong Yang,Elec,Cathodic Protection,Cathodic Protection Systems (4th),O,,O,O,FOB,USD,36212.6,800.0,434.55,37447.15,KOREA,Busan Port,Khalifa port,290-700-2502-063,HMM DAON,Deugro,C,3,1.0,,,,,,,,,,,,,,,,1.0,,,,1724.0,4.27,4.27,,2025-02-18,2025-02-18,2025-03-28,2025-03-29,2025-04-17,2025-03-26,2025-03-29,2025-03-29,47150.0,1684.0,6961.0,2025-04-11,2025-04-14,,2025-05-29,,,,,,,2025-05-12,,,,,3,Port → WH → MOSB → Site
452,HVDC-ADOPT-SCT-0050,E08,HVDC-ADOPT-SCT-0050,2025-02-18,5001003776,Sangdong,Elec,Earthing & Lightning Protection Material,Earthing & Lightning Protection Material (3rd),O,O,O,O,FOB,USD,15130.32,800.0,181.56,16111.88,KOREA,Busan Port,Khalifa port,290-700-2502-062,HMM DAON,Deugro,C,6,1.0,,,,,,,,,,,,,,,,1.0,,,,3980.0,9.68,9.68,,2025-02-18,2025-02-18,2025-03-28,2025-03-29,2025-04-17,2025-03-26,2025-03-27,2025-03-27,47150.0,2959.0,3107.0,2025-04-09,2025-04-14,2025-04-24,2025-04-21,,,,,,,2025-04-09,,,,,3,Port → WH → MOSB → Site
458,HVDC-ADOPT-SCT-0053,E08,HVDC-ADOPT-SCT-0053,2025-01-23,5000801116,Bansuk,Elec,Lighting and Small Power Sysytem,Lighting & Small Power System,O,O,O,O,FOB,USD,94045.0,2660.0,1034.5,97739.5,Spain,Barcelona,Khalifa port,290-700-2502-077,MSC CATANIA,Deugro,C,37,,,1.0,,,,,,,,,,,,,,1.0,,,,5302.0,48.26,48.26,,2025-02-27,2025-02-27,2025-04-01,2025-04-01,2025-04-30,2025-04-03,2025-04-04,2025-04-04,47150.0,17949.0,18845.0,2025-04-21,2025-04-22,2025-04-29,,,,,,,,2025-04-21,,,,,3,Port → WH → MOSB → Site
459,HVDC-ADOPT-SCT-0061,E08,HVDC-ADOPT-SCT-0061,2025-03-31,5000801116,Bansuk,Elec,Lighting and Small Power Sysytem,Lighting Fixture,O,O,O,O,FOB,USD,14100.0,2030.0,169.2,16299.2,Spain,Vitoria-Gasteiz,Abu Dhabi Airport,MAD-00002288,EK4607 / 9906,Deugro,A,4,,,,,,,,,,,,,,,,,0.0,,,,406.0,3.42,3.42,,2025-03-28,2025-03-28,2025-04-04,2025-04-04,2025-04-28,2025-04-04,2025-04-04,2025-04-04,47150.0,2993.0,3143.0,2025-05-01,2025-04-30,2025-04-25,2025-04-27,,,,,,,2025-04-17,,,,,3,Port → WH → MOSB → Site
461,HVDC-ADOPT-SCT-0079,E08,HVDC-ADOPT-SCT-0079,2025-03-27,5000801116,Bansuk,Elec,Lighting and Small Power Sysytem,Lighting & Small Power System,O,O,O,O,FOB,USD,16080.0,2220.44,176.88,18477.32,Spain,Vitoria-Gasteiz,Abu Dhabi Airport,MAD-00002284,QR9274,Deugro,A,4,,,,,,,,,,,,,,,,,0.0,,,,257.4,2.54,2.54,,2025-03-27,2025-03-27,2025-04-01,2025-04-01,2025-04-30,2025-04-07,2025-04-07,2025-04-07,47150.0,3393.0,3563.0,,2025-04-29,2025-04-13,,,,,,,,2025-04-08,,,,,3,Port → WH → MOSB → Site
467,HVDC-ADOPT-SCT-0090,E08,HVDC-ADOPT-SCT-0090,2025-04-05,5000801116,Bansuk,Elec,Lighting and Small Power Sysytem,Lighting & Small Power System,,,,O,FOB,USD,6013.63,748.2,65.43,6827.26,CHINA,Zhenzhen,Abu Dhabi Airport,20250103,3375,Deugro,A,20,,,,,,,,,,,,,,,,,0.0,,,,86.0,0.56,0.56,,2025-04-06,2025-04-06,2025-04-06,2025-04-06,2025-05-06,2025-04-08,2025-04-08,2025-04-08,47150.0,,1254.0,,,,2025-04-12,,,,,,,2025-04-09,,,,,3,Port → WH → MOSB → Site
477,HVDC-ADOPT-SCT-0049,E08,HVDC-ADOPT-SCT-0049,2025-03-01,5000799801,LS Cable,Elec,"MV, LV & Control Cable","MV,LV & Control Cable (6th)",O,O,O,O,FOB,USD,3931938.0,40000.0,43251.32,4015189.32,KOREA,Busan Port,Khalifa port,290-700-2502-115,HMM MIR,Deugro,C,295,14.0,,18.0,,,,,,,,,,,,,,32.0,,,,541644.0,682.29,682.29,,2025-03-01,2025-03-01,2025-04-08,2025-04-08,2025-04-30,2025-04-11,2025-04-14,2025-04-14,47150.0,716867.0,773133.0,2025-05-07,2025-05-12,2025-06-30,2025-09-05,,,,,,,2025-05-05,,,,,3,Port → WH → MOSB → Site
478,HVDC-ADOPT-SCT-0057,E08,HVDC-ADOPT-SCT-0057,2025-03-03,5001004422,Roxtec,Elec,Lighting&Small Power System,Multi Cable Transit,O,O,O,O,FOB,USD,72495.76,1600.0,869.95,74965.71,CHINA,Shanghai,Khalifa port,290-700-2502-193,HMM MIR,Deugro,C,9,,,1.0,,,,,,,,,,,,,,1.0,,,,4456.0,14.31,14.31,,2025-03-01,2025-03-01,2025-04-08,2025-04-08,2025-04-30,2025-04-11,2025-04-14,2025-04-14,47150.0,15831.0,16622.0,2025-04-23,2025-04-19,2025-04-23,2025-04-25,,,,,,,2025-04-17,,,,,3,Port → WH → MOSB → Site
481,HVDC-ADOPT-SCT-0091,E08,HVDC-ADOPT-SCT-0091,2025-04-11,5000801116,Bansuk,Elec,Lighting and Small Power Sysytem,Lighting & Small Power System,O,O,O,,FOB,USD,18330.0,890.0,211.42,19431.42,Spain,Barcelona,Abu Dhabi Airport,BCN323247,EY0112,,A,3,,,,,,,,,,,,,,,,,0.0,,,,271.0,2.88,2.88,,2025-04-11,2025-04-11,2025-04-11,2025-04-11,2025-04-28,2025-04-17,2025-04-17,2025-04-17,47150.0,3569.0,3747.0,2025-05-01,2025-04-30,2025-04-29,,,,,,,,2025-04-19,,,,,3,Port → WH → MOSB → Site
496,HVDC-ADOPT-SCT-0077,E08,HVDC-ADOPT-SCT-0077,2025-03-25,5001004422,Roxtec,Elec,Lighting&Small Power System,Multi Cable Transit,O,O,O,,FOB,USD,160063.8,11081.96,1882.6,173028.36,Sweden,Malmoe,Abu Dhabi Airport,AF207880,QR9543,,A,3,,,,,,,,,,,,,,,,,0.0,,,,1516.0,2.74,2.74,,2025-04-10,2025-04-10,2025-04-17,2025-04-17,2025-04-28,2025-04-22,2025-04-22,2025-04-22,47150.0,31773.0,33361.0,2025-05-01,2025-04-29,2025-05-03,,,,,,,,2025-04-25,,,,,3,Port → WH → MOSB → Site
497,HVDC-ADOPT-SCT-0080,E08,HVDC-ADOPT-SCT-0080,2025-03-20,5000734812,Excellift,Mech,Crane and Hoist,Crane and Hoist (7th),O,,O,O,FOB,USD,280.0,733.0,11.14,1024.14,MALAYSIA,Kuala Lumpur,Abu Dhabi Airport,TC2502345,CV7545,,A,1,,,,,,,,,,,,,,,,,0.0,,,,182.0,0.93,0.93,,2025-04-11,2025-04-11,2025-04-19,2025-04-19,,2025-04-21,2025-04-21,2025-04-21,47150.0,189.0,198.0,2025-05-01,2025-04-29,,2025-04-27,,,,,,,2025-04-22,,,,,3,Port → WH → MOSB → Site
515,HVDC-ADOPT-SCT-0066,E08,HVDC-ADOPT-SCT-0066,2025-03-04,5001004422,Roxtec,Elec,Lighting&Small Power System,Multi Cable Transit,O,O,O,O,FOB,USD,125464.84,1600.0,1380.11,128444.95,CHINA,Shanghai,Khalifa port,290-700-2503-072,CSCL GLOBE,Deugro,C,12,,,1.0,,,,,,,,,,,,,,1.0,,,,7475.0,20.43,20.43,,2025-03-18,2025-03-18,2025-04-22,2025-04-22,2025-11-30,2025-04-24,2025-04-25,2025-04-25,47150.0,27124.0,28480.0,2025-05-01,2025-05-01,,2025-05-04,,,,,,,2025-04-30,,,,,3,Port → WH → MOSB → Site
522,HVDC-ADOPT-SCT-0075,E08,HVDC-ADOPT-SCT-0075,2025-03-11,5000801061,El Seswdy,Elec,Radio Tower - Embedded Material,Radio Tower - Embedded Material,O,,O,,FOB,USD,3320.0,1488.0,52.89,4860.89,Egypt,Kairo,Abu Dhabi Airport,CCAP602917,ES0195/08,,A,2,,,,,,,,,,,,,,,,,0.0,,,,930.0,1.8,1.8,,2025-04-08,2025-04-08,2025-04-11,2025-04-11,2025-11-30,2025-04-28,2025-04-28,2025-04-28,47150.0,893.0,937.0,2025-04-30,2025-04-30,,,,,,,,,2025-04-30,,,,,3,Port → WH → MOSB → Site
528,HVDC-ADOPT-SCT-0058,E08,HVDC-ADOPT-SCT-0058,2025-03-19,5000761114,Dong Yang,Elec,Cathodic Protection,Cathodic Protection Systems (5th),O,O,O,O,FOB,USD,52160.0,800.0,625.92,53585.92,KOREA,Busan Port,Khalifa port,290-700-2503-017,HMM HANBADA,Deugro,C,4,1.0,,,,,,,,,,,,,,,,1.0,,,,1312.0,8.37,8.37,,2025-03-19,2025-03-19,2025-05-01,2025-05-01,2025-11-30,2025-04-30,2025-04-30,2025-04-30,47150.0,,9840.0,2025-05-18,2025-05-12,,2025-05-29,,,,,,,2025-05-12,,,,,3,Port → WH → MOSB → Site
529,HVDC-ADOPT-SCT-0070,I01,HVDC-ADOPT-SCT-0070,2025-03-19,5000801061,SHIN AHN,Inst.,Field Instrument,Field Instrument (1st),O,O,O,O,FOB,USD,46480.0,1600.0,557.76,48637.76,KOREA,Busan Port,Khalifa port,290-700-2503-087,HMM HANBADA,Deugro,C,7,,,1.0,,,,,,,,,,,,,,1.0,,,,2775.0,27.11,27.11,,2025-03-19,2025-03-19,2025-05-01,2025-05-01,2025-11-30,2025-04-30,2025-04-30,2025-04-30,47150.0,7862.0,9324.0,2025-05-18,2025-05-12,2025-05-28,2025-06-16,,,,,,,2025-05-12,,,,,3,Port → WH → MOSB → Site
530,HVDC-ADOPT-SCT-0089,E08,HVDC-ADOPT-SCT-0089,2025-03-26,5001004422,Roxtec,Elec,Lighting&Small Power System,Multi Cable Transit,O,O,O,O,FOB,USD,17433.63,900.0,220.0,18553.63,CHINA,Shanghai,Khalifa port,290-700-2504-059,NORTHERN MONUMENT,Deugro,C,4,1.0,,,,,,,,,,,,,,,,1.0,,,,1132.0,2.37,2.37,,2025-04-12,2025-04-12,2025-05-05,2025-05-05,2025-11-30,2025-05-09,2025-05-09,2025-05-09,47150.0,3918.0,4114.0,2025-05-18,2025-05-22,,2025-05-29,,,,,,,2025-05-12,,,,,3,Port → WH → MOSB → Site
537,HVDC-ADOPT-SCT-0067,E08,HVDC-ADOPT-SCT-0067,2025-02-18,5001003776,Sangdong,Elec,Earthing & Lightning Protection Material,Earthing & Lightning Protection Material (4th),O,O,O,O,FOB,USD,57095.33,1600.0,685.14,59380.47,KOREA,Busan Port,Khalifa port,290-700-2503-088,HMM HANUL,Deugro,C,8,,,1.0,,,,,,,,,,,,,,1.0,,,,5470.0,21.64,21.64,,2025-03-28,2025-03-28,2025-05-08,2025-05-08,2025-11-30,2025-05-09,2025-05-12,2025-05-12,47150.0,10904.0,11449.0,2025-05-18,2025-05-19,2025-05-28,2025-05-29,,,,,,,2025-05-19,,,,,3,Port → WH → MOSB → Site
538,HVDC-ADOPT-SCT-0068,E08,HVDC-ADOPT-SCT-0068,2025-04-02,5000801116,Bansuk,Elec,Lighting and Small Power Sysytem,Lighting & Small Power System,O,O,O,O,FOB,USD,372050.0,1440.0,4092.55,377582.55,Spain,Barcelona,Khalifa port,290-700-2503-195,MSC REGULUS,Deugro,C,25,,,,,,,,,,,,,,,,,0.0,,,,6578.5,37.09,37.09,,2025-04-02,2025-04-02,2025-05-10,2025-05-10,2025-11-30,2025-05-09,2025-05-12,2025-05-12,47150.0,69334.0,72800.0,2025-05-18,2025-05-19,2025-06-10,2025-06-03,,,,,,,2025-05-19,,,,,3,Port → WH → MOSB → Site
551,HVDC-ADOPT-SCT-0060,E08,HVDC-ADOPT-SCT-0060,2025-02-21,5001005974,Tyco Electronics,Elec,Cable Termimation Kit,Cable Termination Kit (1st),O,O,O,O,FOB,USD,84709.77,800.0,1016.52,86526.29,KOREA,Busan Port,Khalifa port,290-700-2503-122,HMM HANUL,Deugro,C,4,1.0,,,,,,,,,,,,,,,,1.0,,,,2760.0,7.03,7.03,,2025-03-28,2025-03-28,2025-05-08,2025-05-08,2025-11-30,2025-05-09,2025-05-12,2025-05-12,47150.0,18275.0,19186.0,2025-05-18,2025-05-22,2025-05-29,2025-05-29,,,,,,,2025-05-22,,,,,3,Port → WH → MOSB → Site
552,HVDC-ADOPT-SCT-0062,E08,HVDC-ADOPT-SCT-0062,2025-02-25,5000802593,Sangdong,Elec,Steel Conduit,Steel Conduit (5th),O,O,O,O,FOB,USD,234241.98,8000.0,2576.66,244818.64,KOREA,Busan Port,Khalifa port,290-700-2503-029,HMM HANUL,Deugro,C,29,,,5.0,,,,,,,,,,,,,,5.0,,,,68850.0,106.28,106.28,,2025-03-28,2025-03-28,2025-05-08,2025-05-08,2025-11-30,2025-05-14,2025-05-14,2025-05-14,47150.0,44956.0,47203.0,2025-05-30,2025-05-30,2025-06-13,2025-06-16,,,,,,,2025-05-29,,,,,3,Port → WH → MOSB → Site
557,HVDC-ADOPT-SCT-0076,E08,HVDC-ADOPT-SCT-0076,2025-03-04,5001004422,Roxtec,Elec,Lighting&Small Power System,Multi Cable Transit,O,O,O,,FOB,USD,69267.74,1920.0,831.21,72018.95,Sweden,Helsingborg,Khalifa port,290-700-2503-163,MSC KYUNGMIN,Deugro,C,6,1.0,,,,,,,,,,,,,,,,1.0,,,,1375.0,4.15,4.15,,2025-03-27,2025-03-27,2025-05-16,2025-05-16,2025-11-30,2025-05-16,2025-05-17,2025-05-17,47150.0,13225.0,13886.0,2025-05-22,2025-05-22,,,,,,,,,2025-05-22,,,,,3,Port → WH → MOSB → Site
558,HVDC-ADOPT-SCT-0081,I01,HVDC-ADOPT-SCT-0081,2025-03-20,5000801061,SHIN AHN,Inst.,Field Instrument,Field Instrument (2nd),O,O,O,O,FOB,USD,264170.0,800.0,3179.64,268149.64,KOREA,Busan Port,Khalifa port,290-700-2503-185,HMM GARAM,Deugro,C,4,1.0,,,,,,,,,,,,,,,,1.0,,,,1800.0,11.2,11.2,,2025-04-02,2025-04-02,2025-05-17,2025-05-17,2025-11-30,2025-05-16,2025-05-17,2025-05-17,47150.0,2494.0,49364.0,2025-05-22,2025-05-22,2025-05-29,2025-05-29,,,,,,,2025-05-22,,,,,3,Port → WH → MOSB → Site
559,HVDC-ADOPT-SCT-0103,E08,HVDC-ADOPT-SCT-0103,2025-05-13,5000802593,Sangdong,Elec,Steel Conduit,Steel Conduit (7th),O,,O,O,FOB,USD,846.0,594.23,1441.67,2881.9,KOREA,Incheon,Abu Dhabi Airport,SEL-00000171,QR859,,A,1,,,,,,,,,,,,,,,,,0.0,,,,91.0,0.46,0.46,,2025-05-17,2025-05-17,2025-05-18,2025-05-18,,2025-05-19,2025-05-19,2025-05-19,47150.0,265.0,278.0,,2025-05-27,,2025-05-29,,,,,,,2025-05-19,,,,,3,Port → WH → MOSB → Site
567,HVDC-ADOPT-SCT-0074,E08,HVDC-ADOPT-SCT-0074,2025-04-02,5000789074,TaeHwa,Elec,Cable Tray System,Cable Tray System (15th),,O,,O,FOB,USD,73103.87,2400.0,830.54,76334.41,KOREA,Busan Port,Khalifa port,290-700-2504-129,HMM GARAM,Deugro,C,7,1.0,,1.0,,,,,,,,,,,,,,2.0,,,,4356.0,29.97,29.97,,2025-04-02,2025-04-02,2025-05-17,2025-05-17,2025-11-30,2024-05-19,2024-05-20,2024-05-20,47150.0,14017.0,14718.0,,,2025-05-29,2025-08-28,,,,,,,2025-05-26,,,,,3,Port → WH → MOSB → Site
583,HVDC-ADOPT-SIM-0080-A,E04-1,HVDC-ADOPT-SIM-0080-A,2025-04-28,SCT-19LT-PRC-PO-004,STATRON,Elec,400kV and 132kV New Converter GIS,Statron Battery_DSDC,,O,,,CIF,EUR,,,,16275.0,India,Visakhapatnam,Khalifa port,RSLDWC250337,MSC Sabrina,,C,16,1.0,,,,,,,,,,,,,,,,1.0,,,,2312.0,3.98,3.98,,2025-04-29,2025-04-29,2025-05-23,2025-05-23,2025-11-30,2025-05-29,2025-05-30,2025-05-30,47150.0,18986.0,19931.0,,,,,,,,,,,2025-11-27,,,2025-06-02,,3,Port → WH → MOSB → Site
584,HVDC-ADOPT-SIM-0080-B,E04-1,HVDC-ADOPT-SIM-0080-B,2025-04-28,SCT-19LT-PRC-PO-004,STATRON,Elec,400kV and 132kV New Converter GIS,Statron Battery_GHDC,,,,O,CIF,EUR,,,,16275.0,India,Visakhapatnam,Khalifa port,RSLDWC250338,MSC Sabrina,,C,16,,,,,,,,,,,,,,,,,0.0,,,,2440.0,3.98,3.98,,2025-04-29,2025-04-29,2025-05-23,2025-05-23,2025-11-30,2025-05-29,2025-05-30,2025-05-30,47150.0,,,,,,,,,,,,,2026-01-21,,,2025-06-02,,3,Port → WH → MOSB → Site
587,HVDC-ADOPT-SCT-0085,E08,HVDC-ADOPT-SCT-0085,2025-04-27,5000801116,Bansuk,Elec,Lighting and Small Power Sysytem,Lighting & Small Power System,O,O,O,O,FOB,USD,29760.0,1040.0,338.8,31138.8,Spain,Barcelona,Khalifa port,290-700-2503-195,MSC REGULUS,Deugro,C,4,1.0,,,,,,,,,,,,,,,,1.0,,,,425.0,3.88,3.88,,2025-04-02,2025-04-02,2025-05-28,2025-05-28,2025-11-30,2025-05-29,2025-05-30,2025-05-30,47150.0,5718.0,6004.0,2025-06-25,,,2025-06-13,,,,,,,2025-06-09,,,,,3,Port → WH → MOSB → Site
589,HVDC-ADOPT-SCT-0087,I01,HVDC-ADOPT-SCT-0087,2025-04-12,5000735890,EMERSON,Elec,Distributed Control System,Distributed Control System,O,O,O,O,FOB,USD,316800.0,1600.0,3502.4,321902.4,KOREA,Busan Port,Khalifa port,290-700-2504-008,HMM GAON,Deugro,C,6,,,1.0,,,,,,,,,,,,,,1.0,,,,2920.0,22.14,22.14,,2025-04-12,2025-04-12,2025-05-30,2025-05-30,2025-11-30,2025-05-29,2025-05-30,2025-05-30,47150.0,59110.0,62065.0,2025-07-21,2025-10-31,,,2025-06-11,,,,,,2025-08-25,,,,,3,Port → WH → MOSB → Site
590,HVDC-ADOPT-SCT-0072,E08,HVDC-ADOPT-SCT-0072,2025-04-12,5000799801,LS Cable,Elec,"MV, LV & Control Cable","MV,LV & Control Cable (7th)",O,O,O,O,FOB,USD,810892.6,15200.0,9087.02,835179.62,KOREA,Busan Port,Khalifa port,290-700-2504-006,HMM GAON,Deugro,C,118,3.0,,8.0,,,,,,,,,,,,,,11.0,,,,149885.3,207.87,207.87,,2025-04-12,2025-04-12,2025-05-30,2025-05-30,2025-11-30,2025-05-30,2025-05-30,2025-05-30,47150.0,153360.0,161028.0,2025-06-05,2025-06-12,2025-06-30,2025-08-24,,,,,,,2025-06-10,,,,,3,Port → WH → MOSB → Site
591,HVDC-ADOPT-SCT-0082,E08,HVDC-ADOPT-SCT-0082,2025-03-20,5000735890,EMERSON,Elec,Distributed Control System,Distributed Control System,O,O,O,O,FOB,USD,1649966.0,16000.0,18325.63,1684291.63,KOREA,Busan Port,Khalifa port,290-700-2504-007A,HMM GAON,Deugro,C,126,,,10.0,,,,,,,,,,,,,,10.0,,,,45172.0,432.37,432.37,,2025-04-12,2025-04-12,2025-05-30,2025-05-30,2025-11-30,2025-05-30,2025-05-31,2025-05-31,47150.0,309279.0,326154.0,2025-07-21,,2025-08-25,,2025-06-14,,,,,,2025-08-21,,,,,3,Port → WH → MOSB → Site
592,HVDC-ADOPT-SCT-0084,I01,HVDC-ADOPT-SCT-0084,2025-04-12,5000761612,"ESAK CO., Ltd",Inst.,Field Instrument,Field Instrument (2nd),O,O,O,O,FOB,USD,6000.0,1600.0,91.2,7691.2,KOREA,Busan Port,Khalifa port,290-700-2504-007B,HMM GAON,Deugro,C,4,,,1.0,,,,,,,,,,,,,,1.0,,,,565.0,5.43,5.43,,2025-04-12,2025-04-12,2025-05-30,2025-05-30,2025-11-30,2025-05-30,2025-05-31,2025-05-31,47150.0,,,2025-07-01,2025-07-01,2025-07-10,2025-07-09,,,,,,,2025-07-01,,,,,3,Port → WH → MOSB → Site
598,HVDC-ADOPT-SCT-0071,E08,HVDC-ADOPT-SCT-0071,2025-04-29,5000799801,LS Cable,Elec,"MV, LV & Control Cable","MV,LV & Control Cable (8th)",O,O,O,O,FOB,USD,57370.0,800.0,639.87,58809.87,KOREA,Busan Port,Khalifa port,290-700-2504-041,HMM DAON,Deugro,C,7,1.0,,,,,,,,,,,,,,,,1.0,,,,6135.0,10.16,10.16,,2025-04-29,2025-04-29,2025-06-06,2025-06-06,2025-11-30,2025-06-09,2025-06-09,2025-06-09,47150.0,7661.0,11182.0,2025-06-14,2025-06-14,2025-06-30,2025-08-24,,,,,,,2025-06-13,,,,,3,Port → WH → MOSB → Site
601,HVDC-ADOPT-SCT-0059,E08,HVDC-ADOPT-SCT-0059,2025-04-23,5001005974,Tyco Electronics,Elec,Cable Termimation Kit,Cable Termination Kit (2nd),O,O,O,O,FOB,USD,150140.0,1040.0,1801.68,152981.68,GERMANY,Hamburg,Khalifa port,290-700-2504-038,MSC MINA,Deugro,C,4,1.0,,,,,,,,,,,,,,,,1.0,,,,897.0,5.3,5.3,,2025-04-23,2025-04-23,2025-06-08,2025-06-08,2025-11-30,2025-06-09,2025-06-09,2025-06-09,47150.0,28092.0,29496.0,2025-06-23,2025-06-23,2025-07-02,2025-06-30,,,,,,,2025-06-23,,,,,3,Port → WH → MOSB → Site
624,HVDC-ADOPT-SCT-0092,E08,HVDC-ADOPT-SCT-0092,2025-05-10,5000789074,TaeHwa,Elec,Cable Tray System,Cable Tray System (16th),O,,,O,FOB,USD,40689.25,4000.0,491.58,45180.83,KOREA,Busan Port,Khalifa port,SEL00000090,HMM MIR,Deugro,C,12,1.0,,2.0,,,,,,,,,,,,,,3.0,,,,25058.0,104.38,104.38,,2025-05-10,2025-05-10,2025-06-18,2025-06-18,2025-11-30,2025-06-20,2025-06-21,2025-06-21,47150.0,8297.0,8711.0,,,,2025-07-31,,,,,,,2025-07-08,,,,,3,Port → WH → MOSB → Site
625,HVDC-ADOPT-SCT-0083,E08,HVDC-ADOPT-SCT-0083,2025-05-10,5000761114,Dong Yang,Elec,Cathodic Protection,Cathodic Protection Systems (6th),O,O,O,O,FOB,USD,168000.0,2400.0,1874.4,172274.4,KOREA,Busan Port,Khalifa port,SEL00000089,HMM MIR,Deugro,C,8,1.0,,1.0,,,,,,,,,,,,,,2.0,,,,5680.0,39.2,39.2,,2025-05-10,2025-05-10,2025-06-18,2025-06-18,2025-11-30,2025-06-20,2025-06-23,2025-06-23,47150.0,,31634.0,2025-07-07,2025-07-07,2025-07-26,2025-08-26,,,,,,,2025-07-08,,,,,3,Port → WH → MOSB → Site
626,HVDC-ADOPT-SCT-0093,E08,HVDC-ADOPT-SCT-0093,2025-05-10,5000802593,Sangdong,Elec,Steel Conduit,Steel Conduit (6th),O,O,O,O,FOB,USD,241453.26,6400.0,2726.39,250579.65,KOREA,Busan Port,Khalifa port,SEL00000091,HMM MIR,Deugro,C,25,,,4.0,,,,,,,,,,,,,,4.0,,,,43170.0,117.67,117.67,,2025-05-10,2025-05-10,2025-06-18,2025-06-18,2025-11-30,2025-06-20,2025-06-21,2025-06-21,47150.0,46016.0,48314.0,2025-07-07,2025-07-07,2025-07-16,2025-08-26,,,,,,,2025-07-08,,,,,3,Port → WH → MOSB → Site
